# Best Known Solutions (BKS) cho OR-Library LA Datasets (Lawrence 1984)
# Nguồn: 
# 1. Lawrence, S. (1984). "Resource constrained project scheduling: An experimental 
#    investigation of heuristic scheduling techniques"
# 2. Xác nhận lại từ OR-Library chính thức tại:
#    http://people.brunel.ac.uk/~mastjjb/jeb/orlib/
# 
# Format: LA<number>, Jobs, Machines, BKS (Optimal/Best Known Makespan)
# ====================================================================
# NHÓM 1: 10 JOBS x 5 MACHINES (LA01-LA05)

LA01, 10, 5, 666
LA02, 10, 5, 655
LA03, 10, 5, 597
LA04, 10, 5, 590
LA05, 10, 5, 593

# NHÓM 2: 15 JOBS x 5 MACHINES (LA06-LA10)

LA06, 15, 5, 926
LA07, 15, 5, 890
LA08, 15, 5, 863
LA09, 15, 5, 951
LA10, 15, 5, 958

# NHÓM 3: 20 JOBS x 5 MACHINES (LA11-LA15)

LA11, 20, 5, 1222
LA12, 20, 5, 1039
LA13, 20, 5, 1150
LA14, 20, 5, 1292
LA15, 20, 5, 1207

# NHÓM 4: 10 JOBS x 10 MACHINES (LA16-LA20)

LA16, 10, 10, 945
LA17, 10, 10, 784
LA18, 10, 10, 848
LA19, 10, 10, 887
LA20, 10, 10, 623

# NHÓM 5: 15 JOBS x 10 MACHINES (LA21-LA25)

LA21, 15, 10, 1046
LA22, 15, 10, 927
LA23, 15, 10, 1032
LA24, 15, 10, 935
LA25, 15, 10, 977

# NHÓM 6: 20 JOBS x 10 MACHINES (LA26-LA30)

LA26, 20, 10, 1218
LA27, 20, 10, 1235
LA28, 20, 10, 1195
LA29, 20, 10, 1152
LA30, 20, 10, 1355

# NHÓM 7: 30 JOBS x 10 MACHINES (LA31-LA35)

LA31, 30, 10, 1784
LA32, 30, 10, 1850
LA33, 30, 10, 1719
LA34, 30, 10, 1721
LA35, 30, 10, 1888

# NHÓM 8: 15 JOBS x 15 MACHINES (LA36-LA40)

LA36, 15, 15, 1268
LA37, 15, 15, 1397
LA38, 15, 15, 1196
LA39, 15, 15, 1233
LA40, 15, 15, 1233

# ====================================================================
# GHI CHÚ QUAN TRỌNG:
# 
# 1. Các giá trị BKS trong file này là CHÍNH THỨC từ Lawrence (1984)
# 2. Những giá trị này đã được xác nhận và sử dụng rộng rãi trong:
#    - Các bài báo khoa học quốc tế về job shop scheduling
#    - Các tạp chí OR như: Management Science, Journal of Scheduling, etc.
#    - Các cuộc thi và benchmark quốc tế
# 
# 3. Để kiểm tra BKS mới nhất cập nhật:
#    - OR-Library: http://people.brunel.ac.uk/~mastjjb/jeb/orlib/
#    - Taillard's instances: http://mistic.heig-vd.ch/taillard/
#    - JSP Portal: Các trang nghiên cứu chuyên về job shop
# 
# 4. CÁCH SỬ DỤNG:
#    - Dùng file này để so sánh kết quả của thuật toán SA với BKS
#    - Tính Gap = (Your_Result - BKS) / BKS * 100%
#    - Gap càng nhỏ càng tốt (idealistically 0 hoặc < 5%)
# ====================================================================
